1 Introduction;;
https://github.com/oskariorg/sample-application;Sample application;ok
/documentation/api/requests/latest/SetTimeRequest;SetTimeRequest;ok
https://github.com/oskariorg/sample-server-extension;Sample server-extension;ok
https://github.com/oskariorg/sample-server-extension/tree/master/app-resources/src/main/java/flyway/example3d;example3d;ok
https://github.com/oskariorg/sample-configs/blob/master/jetty-9/oskari-server/resources/oskari-ext.properties;configuration;ok
https://github.com/oskariorg/sample-server-extension/blob/master/app-resources/src/main/resources/json/views/geoportal-3d.json;geoportal-3d.json;ok
https://github.com/oskariorg/sample-server-extension/blob/1.3.0/app-resources/src/main/java/flyway/example3d/V1_1__setup_3D_publishing.java;metadata;ok
https://cesium.com/cesium-ion/;Cesium ion;ok
http://spatialreference.org/ref/epsg/isn93-lambert-1993/;spatial reference web site;ok
http://proj4js.org/;proj4js;ok
9-Configuration-instructions#Creating-a-custom-location-search-channel;Guide for creating custom search channel;ok
9-Configuration-instructions#ChannelProvider-customizations;Guide for creating ChannelProviders;ok
9-Configuration-instructions#WFS-search-functionality-deployment;Guide for setting up WFS-based search channels;ok
9-Configuration-instructions#ChannelProvider-customizations;ChannelProviders;ok
/documentation/backend/upgrading;here;PUUTTUU
9-Configuration-instructions#Configuration-options-for-vector-feature-layers;Configuration options for vector feature layers;ok
https://oskari.org/db/tables/oskari_maplayer.html;database table;poistettu linkki koska piti poistaa 
https://github.com/oskariorg/oskari-frontend/blob/2.5.1/bundles/mapping/mapmodule/plugin/getinfo/ValueFormatters.js;ValueFormatters;ok
;;
10 Enabling modules;;
10-Enabling-modules#Requirements-for-thematic-maps;requirements;ok
10-Enabling-modules#Configuring-thematic-maps-functionality;configuring;ok
requirements;requirements;ok
/documentation/backend/permissions;view permissions;PUUTTUU
;;
11 Application troubleshooting;;
https://github.com/oskariorg/oskari-docs/issues;GitHub issues;ok
;;
12 Changelog;;
https://github.com/oskariorg/oskari-frontend/blob/master/ReleaseNotes.md;Oskari frontend release notes;ok
https://github.com/oskariorg/oskari-server/blob/master/ReleaseNotes.md;Oskari server release notes;ok
https://github.com/oskariorg/oskari-server/blob/master/MigrationGuide.md;Migration guide;ok
